ID,target
000137c73,1775229.0122202523
00021489f,1765720.7807002028
0004d7953,1581874.9514362337
00056a333,4778030.936803055
00056d8eb,1954816.7682756654
0005fc190,1808815.0112237565
000787e86,2042589.064448656
0008510a0,2055036.5988208249
000895faf,1923043.488506672
000986fba,2665545.8510332545
0009efcc5,1431770.458969837
000dd8f00,1950321.2181645376
000e1cdc2,1292695.7260530407
00103739c,1913928.76680842
00134b367,1765179.105851761
001788d0d,818953.0889419634
0019c8ad7,2861850.0299789393
001a267b9,1151321.4357070352
001a85486,1962580.0897437022
001c4de06,2157570.7774651246
001f9014b,1918537.8771803482
00216fb94,1990284.570251293
00235690e,1904863.7019221736
00240739d,1950998.7152675316
0024c3747,1721039.6920168786
00297052d,2005678.6028924452
002ab8f85,1917578.7106798778
002bed5c0,1974961.2682997836
002bf3974,7287427.723478169
002d23a26,1976640.5099648684
002f27de9,1830953.046342015
0030d8bb4,2314945.814430418
003146acd,1947352.623798681
003223263,1553506.5632742608
00335575e,3078776.0807243604
00337cf9d,4282971.621807869
003394397,1926868.4690019074
0036358a3,1890755.071990559
003770d30,1397742.238007498
003bed5ea,1914296.324614566
003ea6427,3913070.054312201
003ef8132,1558789.3982839943
003fd1723,2011439.9030512841
0041861b4,1266306.1429794752
0042b718b,1528665.3258537238
004381d8f,2782307.1000442123
0043ca764,1732542.810672014
004486837,2769606.2630109293
0045c123e,2033454.6717318047
0048915c6,2124589.7552238037
004ab9a09,2192832.162828869
004b2e1c9,4001191.2424936444
004c54732,1001696.8499510924
004cdefce,1867276.5420520867
004dd971b,4027223.8325844295
004f9329b,1925907.7399344465
004fd2bca,1527238.0361136708
0054bfedb,1310359.5396473852
0054ec58a,298146.54098011705
00551f45d,13760058.605709743
005777b4c,1324117.7060944773
00578d6ea,2114341.413914424
005802488,1415172.6608732557
0059833b6,903638.7611479664
005a70085,2224213.113922479
005b148a0,1950321.2181645376
005c28df4,1390239.83726367
005f8dc26,1912486.4139668709
00603c202,6725219.936064226
006049609,1752597.3412409504
00612f47e,1950321.2181645376
00647a57f,1974279.522096269
0065853ee,1950321.2181645376
006589d5e,1469583.98092057
006598823,2992312.4275393058
0065c093c,2638853.600509411
006738351,1464311.8888914671
006a0c6a8,2111862.7750687925
006e9efe6,1879335.777100518
006f029d3,1995682.2575100127
0070f35a2,1700309.7590536973
007135f85,1950321.2181645376
007285433,4287985.517042361
00735e101,1581286.6211181546
0074ecf4e,1869144.4360133277
007635fa9,1876923.186294703
007723613,2202030.5321473493
007867da9,1944761.3203477594
0078bfbd6,993740.3891032772
0078ce229,1943524.2404066536
007a89d50,2041197.6982061854
007d43dfa,2025881.0121992787
007ee9e05,2160610.66619633
007ffeae2,1761601.9686909642
00835c85c,2234526.368717974
0084b08f1,1883655.7076029587
0087fb290,1979875.3922731478
0088a96bd,1963290.2280941615
008ac4292,3159067.10297198
008d8cca8,1927879.3895812838
008e07b8c,1558958.8105382787
008e5e25a,3407377.7432512864
0094edcdb,3612185.65452756
00950141c,2170026.8812914505
009566ef1,3662610.8580569145
0095c81d4,1950321.2181645376
0097a6ed4,2198330.96349203
0098fef9a,1169838.0955987626
009b321ec,4690537.501452106
009cd681e,1629207.386120415
009f34f86,1872731.9443837192
009f35cd3,1876609.987122551
009f65109,5636625.26046889
00a19014a,1760858.223759269
00a27e76a,792544.3719799457
00a3b6ef7,2117754.426449971
00a427603,1160223.1128449396
00a6dc8be,1730199.8376327222
00a811734,4892431.50428538
00a8f58a7,1955974.2473555785
00aaae151,1659143.0334965016
00ab17f67,1826469.1573629763
00ac2d3a5,1684117.5685599954
00adab1b6,2312508.8658430483
00aef0d56,1857040.4152574027
00b0b06c4,1282586.0402944596
00b0e2303,1351540.1913864794
00b1fbbc9,1248258.713006491
00b43e0c1,4903355.371630286
00b7190a8,1955452.1390682384
00b722e1b,1407956.4314230154
00bba815f,2591855.0642642467
00bbb1c42,1909033.0129435782
00bc2b665,1876942.111184255
00bc35689,2041672.5863495145
00be23f52,3946019.4626297536
00be24ac5,1832726.789059291
00bfd0f70,1750012.8895046657
00c02f73e,2449681.43370903
00c08e5b3,1878824.9351755753
00c8690ff,1749568.8619058083
00c8df4d5,2591453.2107236916
00c8e30de,1584395.9181832124
00ca3fb04,2066458.9664250517
00cabf621,1955391.8264798708
00cb48ae3,1637973.2103188154
00cb6b147,1932559.2458082
00cc91a22,3704257.3908502874
00cd65e9d,3682532.7773333793
00cd7d6a8,998685.643259417
00cdc1483,1981246.862496107
00ce9bea5,1536757.3850578908
00cea0091,2908847.365102035
00cea68c6,1723244.327044342
00d5a5975,2303891.438290646
00d80a3a4,19063013.667414527
00d9f3864,972481.2601882315
00da4bd31,2149590.2791539286
00df4dd77,1843817.6652221268
00e1a55bf,1950321.2181645376
00e332971,1951655.75978653
00e5b6b1b,2927178.5046810126
00e85d5e3,1768222.379272561
00e90abfa,2532693.274591267
00e9708b4,2008069.177757441
00e9c680f,6877316.633673766
00eaa4394,2086692.3563758358
00eae8832,2805725.6804859196
00ebefdc0,2043160.953663088
00ecbcb1b,1448479.8808981855
00ed49382,7624376.962273392
00ed87564,1940869.6051124888
00ef96cfd,103662.15333923956
00efe7ca3,1968865.5976069071
00f36aa18,1974736.9506439122
00f3fb071,1950080.9300547873
00f43f548,2119411.8384145764
00f4d58ec,1950321.2181645376
00f56e106,1736692.295120917
00f84d8c2,1378187.947225489
00f92953b,1955966.35159327
00fa1d469,3470877.384872535
00ff96f49,3007246.4616924967
0100ce0d8,5044528.045909188
0102ea9e1,1770162.5453066232
0104b3af3,1629577.1305632892
010672441,1950321.2181645376
010771ca5,2145917.433426077
0108aea9f,1950321.2181645376
010a479e1,1720801.103555551
010d0a2dd,5880909.597692696
010e3cea2,1899227.17803335
010e5417b,1911968.6422199383
01108a561,345037.6177364347
0110cca98,1103797.1965349473
011449698,1640788.5603644426
0114795f0,2756288.300593661
011626c20,6328557.789808652
0117c8f27,1633244.265064696
0117dcb47,4239489.340049597
0118c34be,1871635.7026629648
0119efcb9,1340256.884784761
011a58e13,1948056.9441638328
011b7902b,8271201.8408973375
011ca122e,7323774.622478146
012053244,1588503.7216922129
0122a258e,810824.8216675838
0122a4305,1940706.8609296891
01230d8ba,1950321.2181645376
012414f4e,1389931.8103457817
012452125,1508851.4680886115
0124529b5,1135322.306411771
012556288,3248872.948743687
01257c24c,1893544.6829143297
01258b972,1960894.8307623216
0125b64db,1966071.486010839
01295ef92,1724242.718047231
012a2752f,1935675.8445275777
012b6ba95,1949565.248617885
012b96b58,1792462.9082829123
012e881b9,1962203.6884299146
012f25e94,1771937.0823887875
012fa70bb,1903792.3017722212
01304fc0a,2273133.4899388566
013230913,2101401.8514974243
01336ceb8,1859059.223556701
0133b85e7,2315825.9246726986
0136f8766,1947329.7322693146
0137356b9,1946426.265348404
013750184,437568.8526947946
013a3f07c,1985086.3059642767
013cc1c13,2066063.95373853
013e96334,1669691.159305145
013fae0b1,1732930.016899499
014076343,2159512.911259812
0140ea0ba,1524662.8106465456
0143ee127,1199816.5805263266
014461014,2837742.465226577
01446634f,1428918.520733184
014729fb2,3471146.381138152
014749c88,1995780.7309438477
014787fc1,1966858.3411145974
014a6143c,1789744.6611774669
014af25cd,3461306.0339556034
014b5797e,1967682.0025479908
014badcb1,1814795.2536274744
014c523b1,5561681.769782399
014e55fdb,1950321.2181645376
014ea0456,1915452.2977461359
0151cc525,1920098.4945621463
015409983,2020952.3048230268
015411bfe,2568527.0008900883
01560b792,245528.8182574766
0157b07da,1910196.5197243444
01587bbbc,2051651.3428617143
0158ba234,2345488.3560423627
01590d52a,5736842.160790334
015a40790,1470074.5042545998
015b07817,1123288.3133150805
015fc3313,4394621.943689493
01604ee4b,1950321.2181645376
016054375,2630623.2561291098
01642dec0,884553.8550170822
0166ab5ea,1981612.7036457506
016b405be,1717238.0999938312
016bdc940,5465526.5721822325
016c31d1a,546339.9849852575
016d290da,4971220.770815605
016decdd2,2328711.521902805
016ee1214,2265439.641204856
016efef23,1950321.2181645376
016f60448,1771505.5725382846
017029678,1836426.5586833707
01704d4ca,1509712.7811111943
0172638ce,1681898.0680686536
0173e6be5,1950321.2181645376
0174ed320,1459262.582827912
017623c5c,1950321.2181645376
017a4044f,1899860.1510560545
017a6c7f9,2045798.9218802985
017ae7ac3,1863232.2849418572
017b80d83,1920342.3310431475
017d9f1a4,1906693.9746952287
017e22e34,5105772.212763083
017e9a902,1950321.2181645376
0180f14e9,1950321.2181645376
018148c57,1407897.491807135
018166b42,2268254.9913316485
0181a6d0e,1950739.9256135758
018283661,1871591.7609944576
0183f9b32,1585557.9358078656
0186cbba4,4429013.281710205
0188bc86f,1973549.0111109123
01890383f,2387974.4949738816
018965366,1959632.9119696373
0189c8ab0,1915910.1545751947
018d514a2,1760711.8154829906
018d765bb,1622604.7641497985
018dbbe73,1930305.9767322154
018de39ca,2117949.943802411
018fd935f,1911278.462425268
018ffc9fa,2838615.5384830413
019372984,2152492.0933173755
01937e592,943892.090784961
019381521,1724787.0366554486
01952e574,1730479.4457537776
019540ad9,3384681.859006841
01955815c,1950321.2181645376
0196be03d,1893105.048138212
01978c738,2559614.765221706
0197f607c,2747338.441728869
01980e862,1950321.2181645376
019823615,1950321.2181645376
019ab3785,2230957.526780375
019c0d544,1863343.462863689
019c5ad1d,1950321.2181645376
019cff829,1950321.2181645376
019ed3e51,1945743.3483133956
019fd88df,1692704.1961617903
